"","ID","jab","ext","int","red","jab_ex","jab_in","jab_re","province"
"3191",3191,0.651238266,0,0,0,0,0,0,"Almeria"
"11714",11714,0.186068076,1.827569422,0,0.554038901,0.340052326,0,0.103088952,"Caceres"
"9737",9737,0.031011346,0,0.794950876,0,0,0.024652497,0,"Toledo"
"21328",21328,0.77528365,0,0,0,0,0,0,"Zaragoza"
"7498",7498,0.186068076,0,0,0,0,0,0,"Badajoz"
"9910",9910,0.558204228,0,0,0,0,0,0,"Cuenca"
"23103",23103,1.147419801,0,0,0,0,0,0,"Navarre"
"16629",16629,1.023374417,0,0,0,0,0,0,"Soria"
"23947",23947,0.496181536,0,0,2.216155603,0,0,1.09961549,"Lugo"
"21468",21468,0.589215574,0,0,2.770194503,0,0,1.632241743,"Leon"
"7766",7766,3.194168636,0,0,0,0,0,0,"Valencia"
"5841",5841,1.178431147,0,0,0,0,0,0,"Alicante"
"8572",8572,3.194168636,0,0,0,0,0,0,"Toledo"
"14770",14770,0.093034038,0,0,0,0,0,0,"Teruel"
"3486",3486,0.066063148,0,0.397475438,0,0,0.026258479,0,"Murcia"
"23276",23276,0.868317688,0,0,0,0,0,0,"Burgos"
"23955",23955,0.403147498,0,0,0,0,0,0,"Lugo"
"12767",12767,0.828051664,0,0,0,0,0,0,"Salamanca"
"4425",4425,0.434158844,0,0.397475438,0,0,0.172567476,0,"Alicante"
"3986",3986,0.899329033,0,0,1.108077801,0,0,0.996526538,"Jaen"
"5169",5169,0.031011346,6.091898072,0,0,0.188917959,0,0,"Cordoba"
"214",214,7.163620922,0,0,0,0,0,0,"Malaga"
"4848",4848,0.031011346,2.436759229,2.782328065,19.391361524,0.075567184,0.086283738,0.601352221,"Badajoz"
"17678",17678,0.713260958,0,1.589901751,11.634816914,0,1.134014846,8.298660654,"Zamora"
"9744",9744,0.31011346,0,0,0,0,0,0,"Toledo"
"1404",1404,2.387873641,0,0,0,0,0,0,"Granada"
"20749",20749,0.372136152,0,0,0,0,0,0,"Palencia"
"14089",14089,0.713260958,0,0,0,0,0,0,"Guadalajara"
"10351",10351,0.930340379,0,0,0,0,0,0,"Cuenca"
"7971",7971,1.829669413,0,0,0,0,0,0,"Ciudad_Real"
"16255",16255,2.791021138,0,0.794950876,0,0,2.218724698,0,"Segovia"
"21995",21995,0.124045384,0,0,0,0,0,0,"Burgos"
"26138",26138,0.062022692,0,0,0,0,0,0,"Asturias"
"15636",15636,0.651238266,0,0,0,0,0,0,"Tarragona"
"5721",5721,0.77528365,0,0.397475438,0,0,0.308156208,0,"Badajoz"
"9053",9053,1.085397109,0,0,0,0,0,0,"Valencia"
"290",290,4.403611129,0,0,0,0,0,0,"Malaga"
"17888",17888,0.112118876,0,0,2.770194503,0,0,0.310591093,"Zamora"
"2258",2258,0.527192882,0,0,0,0,0,0,"Almeria"
"22240",22240,0.434158844,0,0,0,0,0,0,"Navarre"
"8738",8738,0.279102114,0,0.397475438,0,0,0.110936235,0,"Cuenca"
"4896",4896,0.403147498,3.655138843,0,0,1.473560079,0,0,"Cordoba"
